Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TESTANDO,Chrome 69.0.3497.92,,2018-09-19 14:54:56,2018-09-19 14:55:16,"20,337s",ERROR
,,,,,,
Test Cases/Reuso/Efetuar_Login,Chrome 69.0.3497.92,,2018-09-19 14:54:56,2018-09-19 14:55:15,"19,077s",ERROR
openBrowser,Chrome 69.0.3497.92,Acessar Siga,2018-09-19 14:54:56,2018-09-19 14:55:14,"18,063s",PASSED
setText,Chrome 69.0.3497.92,Preencher campos de usuário e senha.,2018-09-19 14:55:14,2018-09-19 14:55:15,"0,580s",PASSED
"Statement - KeywordUtil.markFailedAndStop(""ERRO AO EFETUAR LOGIN"")",Chrome 69.0.3497.92,,2018-09-19 14:55:15,2018-09-19 14:55:15,"0,004s",PASSED
